n_pred,n_std,min_cell,alpha,nested_rw
5,3,400,1.0,83.07163735723003
8,3,250,0.5,83.07194630822785
5,3,400,0.5,83.07209733630899
8,2,150,0.5,83.07248800164132
8,2,150,1.0,83.07274766945999
8,3,250,3.0,83.07277403099526
8,3,250,1.0,83.07481181986368
8,3,250,10.0,83.07747384063828
4,4,400,0.5,83.20655242763249
4,4,400,1.0,83.20666801112797
4,4,400,3.0,83.20669304737834
4,4,400,10.0,83.2076495362798
5,3,150,10.0,83.24518441022745
5,3,250,10.0,83.24518441022745
5,3,150,3.0,83.24860511970596
5,3,250,3.0,83.24860511970596
5,3,250,1.0,83.24957151982608
5,3,150,1.0,83.24957151982608
5,3,250,0.5,83.25010321415736
5,3,150,0.5,83.25010321415736
8,3,150,0.5,83.25616381043841
8,3,150,3.0,83.25669689659418
8,3,150,1.0,83.25897562162251
8,3,150,10.0,83.26007564099373
4,4,250,3.0,83.28217288766096
4,4,250,0.5,83.28231085052713
4,4,250,1.0,83.28242510843448
6,3,250,10.0,83.28339119945207
4,4,250,10.0,83.2859653581499
6,3,250,3.0,83.2922670195146
6,3,250,1.0,83.29236336556204
6,3,250,0.5,83.2932393134371
5,4,250,3.0,83.32990670976278
4,4,150,0.5,83.33070950843057
4,4,150,3.0,83.33074189100017
4,4,150,1.0,83.33082919553041
5,4,250,0.5,83.33108974015225
5,4,250,10.0,83.33117469825038
5,4,250,1.0,83.33396757150591
4,4,150,10.0,83.33418552746315
5,4,150,3.0,83.34259943084241
5,4,150,10.0,83.34318908150557
5,4,150,0.5,83.34320721232972
5,4,150,1.0,83.3468086471446
6,3,150,10.0,83.39905603450916
6,3,150,3.0,83.40449419701848
6,3,150,1.0,83.40473050179745
6,3,150,0.5,83.4075367870161
6,4,250,1.0,83.42392597549318
6,4,250,0.5,83.4247890894107
6,4,250,3.0,83.43775025150477
6,4,250,10.0,83.43803998891185
8,4,150,10.0,83.64325108765806
8,4,150,1.0,83.65430756176688
8,4,150,0.5,83.65564261899881
8,4,150,3.0,83.65609574796544
6,4,150,0.5,83.7395526667773
6,4,150,1.0,83.74317571148885
6,4,150,10.0,83.75101782583502
6,4,150,3.0,83.75647205975766
